,depth below surface (mm),pex_x,pex_y,pex_z,mean_pex (mm),pc_x,pc_y,pc_z ,mean_pc (mm),phi_i,rho (kgm-3),ssa (mm-1),,,pex [(px+py+pz)/3] (mm),Aniso [(pex_x+pex_y)/2]/pex_z
'D0001412_GREY_TOP06_corr.dat',134.4,0.10916459,0.110167091,0.085104495,0.097385168,0.134533112,0.140733333,0.123022804,0.130328013,0.176981,162.291577,25.25992622,,,0.101479108,1.288602203
'D0001412_GREY_TOP07_corr.dat',135.68,0.109296028,0.115241944,0.08930015,0.100784568,0.135024322,0.143808907,0.122718075,0.131067345,0.174947,160.426399,25.17951367,,,0.104612939,1.257209367
'D0001412_GREY_TOP08_corr.dat',136.96,0.105101766,0.118554643,0.086878123,0.099353164,0.132481633,0.145624128,0.120303929,0.129678404,0.177604,162.862868,25.3672461,,,0.103511765,1.287184865
'D0001412_GREY_TOP09_corr.dat',138.24,0.095376249,0.105870576,0.079636758,0.090130085,0.127306643,0.138871871,0.113688472,0.123388864,0.1978,181.3826,26.00558822,,,0.093627833,1.263529748
'D0001412_GREY_TOP10_corr.dat',139.52,0.096131448,0.105996095,0.072486046,0.086774909,0.12987027,0.138607438,0.106672814,0.120455834,0.193682,177.606394,26.77555657,,,0.091537708,1.394251409
'D0001412_GREY_TOP11_corr.dat',140.8,0.101612748,0.11219554,0.073563252,0.090233698,0.134980576,0.14325024,0.107574339,0.123344874,0.18284,167.66428,26.50000686,,,0.095790505,1.453227539
'D0001412_GREY_TOP12_corr.dat',142.08,0.111372398,0.113507961,0.079006267,0.095723223,0.140193072,0.145651917,0.113213085,0.12806779,0.180826,165.817442,25.58563716,,,0.101295809,1.423180506
'D0001412_GREY_TOP13_corr.dat',143.36,0.121006324,0.115008676,0.088260407,0.103133954,0.149222793,0.15303792,0.120762058,0.135946207,0.172072,157.790024,24.36045894,,,0.108092296,1.337037798
'D0001412_GREY_TOP14_corr.dat',144.64,0.116592679,0.111155127,0.094505847,0.104189875,0.150220774,0.152970774,0.129758445,0.14067711,0.172723,158.386991,23.52271815,,,0.107418145,1.20494029
'D0001412_GREY_TOP15_corr.dat',145.92,0.107967229,0.10837249,0.088323635,0.098246747,0.145617301,0.148175496,0.12593592,0.136416159,0.203252,186.382084,23.36227624,,,0.101554754,1.224698905
'D0001412_GREY_TOP16_corr.dat',147.2,0.105178217,0.105335914,0.087718102,0.096487584,0.145921177,0.148959065,0.127108163,0.137274142,0.216406,198.444302,22.83296733,,,0.099410767,1.199946915
